project-key,project-name,repo,github_org,github_repo,gh_repo_visibility
BBSMIG,bbs-migration-demo,calotracker,rajithaj1024,calotracker_bbs-12a,private
BBSMIG,bbs-migration-demo,solid-api,rajithaj1024,solid-api_bbs-12a,private
